 |-Pesticide|                        1               2               3               4               5              6
   93 DI-SYSTON 8         0.120000E+02    0.220000E+01    0.300000E+01    0.500000E+00    0.134500E+04    0.282600E+02
   94 DITHANE F45         0.600000E+01    0.200000E+01    0.100000E+02    0.250000E+00    0.600000E+04    0.287000E+01
   95 Dowpon              0.900000E+06    0.300000E+02    0.370000E+02    0.950000E+00    0.100000E+01    0.150000E+02
   96 DROPP 50W           0.200000E+02    0.100000E+02    0.300000E+01    0.400000E+00    0.110000E+03    0.234000E+03
   97 DSMA SLURRY         0.140000E+07    0.100000E+04    0.300000E+02    0.950000E+00    0.100000E+06    0.700000E+01
   98 DUAL                0.488000E+03    0.260000E+02    0.500000E+01    0.600000E+00    0.700000E+02    0.300600E+02
   99 Du-ter              0.100000E+01    0.750000E+02    0.180000E+02    0.400000E+00    0.230000E+05    0.180000E+02
  100 DYFONATE 4E         0.170000E+02    0.400000E+02    0.250000E+01    0.600000E+00    0.870000E+03    0.280000E+02
  101 DYLOX 5% BAIT       0.130000E+06    0.640000E+01    0.300000E+01    0.950000E+00    0.150000E+02    0.420000E+02
  102 Dymid               0.260000E+03    0.300000E+02    0.500000E+01    0.800000E+00    0.210000E+03    0.590000E+02
  103 Dynap               0.200000E+03    0.120000E+02    0.120000E+02    0.100000E+01    0.300000E+02    0.150000E+02
  104 Dyrene              0.800000E+01    0.600000E+00    0.500000E+00    0.500000E+00    0.200000E+04    0.610000E+02
  105 Elgetol             0.130000E+03    0.200000E+02    0.800000E+01    0.950000E+00    0.300000E+03    0.500000E+01
  106 EPN                 0.100000E+01    0.150000E+02    0.500000E+01    0.600000E+00    0.400000E+04    0.180000E+02
  107 ERADICANE 6.7E      0.375000E+03    0.180000E+02    0.300000E+01    0.750000E+00    0.223000E+03    0.126800E+02
  108 Ethanox             0.100000E+01    0.150000E+03    0.700000E+01    0.650000E+00    0.100000E+05    0.150000E+02
  109 EVIK 80W            0.200000E+03    0.370000E+02    0.500000E+01    0.650000E+00    0.316000E+03    0.140000E+02
  110 Evital              0.340000E+02    0.130000E+03    0.150000E+02    0.500000E+00    0.353000E+03    0.320000E+02
  111 FAR-GO              0.400000E+01    0.740000E+02    0.150000E+02    0.400000E+00    0.255000E+04    0.180000E+02
  112 Fenatrol            0.500000E+06    0.158000E+03    0.300000E+02    0.950000E+00    0.530000E+02    0.251000E+03
  113 Fenitox             0.210000E+02    0.180000E+02    0.300000E+01    0.900000E+00    0.715000E+04    0.150000E+02
  114 Fruitone CPA        0.200000E+06    0.100000E+02    0.300000E+01    0.950000E+00    0.200000E+02    0.140000E+02
  115 Fumazone            0.100000E+04    0.180000E+03    0.990000E+02    0.900000E+00    0.700000E+02    0.500000E+01
  116 Fundal              0.270000E+03    0.860000E+02    0.100000E+01    0.900000E+00    0.100000E+06    0.800000E+01
  117 FUNGINEX 1.6EC      0.600000E+01    0.210000E+02    0.500000E+01    0.800000E+00    0.527000E+03    0.593500E+02
  118 Furadan 4F          0.350000E+03    0.110000E+02    0.200000E+01    0.550000E+00    0.460000E+02    0.475800E+02
  119 Fusilade 1.00L      0.100000E+01    0.210000E+02    0.400000E+01    0.400000E+00    0.300000E+04    0.324310E+03
  120 GLEAN               0.320000E+05    0.200000E+02    0.300000E+02    0.750000E+00    0.360000E+02    0.712000E+03
  121 GOAL 1.6            0.000000E+00    0.300000E+02    0.300000E+01    0.800000E+00    0.100000E+06    0.162570E+03
  122 GUTHION 3F          0.280000E+02    0.440000E+02    0.200000E+01    0.650000E+00    0.940000E+03    0.837000E+01
  123 Harmony Extra       0.240000E+04    0.120000E+02    0.300000E+01    0.800000E+00    0.450000E+02    0.100690E+03
  124 HARVADE             0.460000E+04    0.413000E+03    0.300000E+01    0.800000E+00    0.300000E+01    0.350000E+02
  125 Hoelon 3E           0.100000E+01    0.230000E+02    0.300000E+01    0.800000E+00    0.160000E+05    0.710000E+02
  126 HYVAR XL 2.5 ga     0.700000E+03    0.275000E+03    0.300000E+01    0.800000E+00    0.320000E+02    0.812700E+02
  127 HYVAR XL 5 gal      0.700000E+03    0.275000E+03    0.300000E+01    0.800000E+00    0.320000E+02    0.590000E+02
  128 IMIDAN 70WSB        0.200000E+02    0.140000E+02    0.300000E+01    0.900000E+00    0.668000E+03    0.453000E+01
  129 ISOTOX              0.700000E+01    0.423000E+03    0.250000E+01    0.500000E-01    0.135500E+04    0.900000E+01
  130 KARATE              0.000000E+00    0.430000E+02    0.500000E+01    0.400000E+00    0.180000E+06    0.532000E+03
  131 Karathane LC        0.000000E+00    0.500000E+01    0.800000E+01    0.300000E+00    0.550000E+03    0.800000E+02
  132 Karmex              0.420000E+02    0.372000E+03    0.300000E+02    0.450000E+00    0.476000E+03    0.283000E+01
  133 KELTHANE 50 MF      0.100000E+01    0.680000E+02    0.400000E+01    0.500000E-01    0.720700E+04    0.240000E+02
  134 KERB WSP T&O        0.130000E+02    0.450000E+02    0.300000E+01    0.800000E+00    0.750000E+03    0.970000E+02
  135 Krenite S           0.179000E+07    0.700000E+01    0.400000E+01    0.950000E+00    0.630000E+02    0.670000E+02
  136 LANNATE L           0.579000E+05    0.300000E+02    0.300000E+01    0.800000E+00    0.860000E+02    0.524700E+02
  137 Larvadex            0.136000E+05    0.125000E+03    0.300000E+02    0.950000E+00    0.765000E+03    0.370000E+02
  138 LARVIN              0.190000E+02    0.200000E+01    0.400000E+01    0.700000E+00    0.351000E+03    0.504600E+02
  139 LASSO EC            0.240000E+03    0.150000E+02    0.300000E+01    0.400000E+00    0.170000E+03    0.144000E+02
  140 Limit               0.100000E+02    0.200000E+02    0.800000E+01    0.700000E+00    0.100000E+04    0.146000E+03
  141 Logic               0.600000E+01    0.100000E+01    0.990000E+02    0.900000E+00    0.322000E+04    0.800000E+02
  142 LONDAX DF           0.800000E+02    0.240000E+02    0.300000E+01    0.800000E+00    0.276000E+03    0.930700E+04
  143 Lontrel             0.900000E+04    0.260000E+02    0.200000E+01    0.950000E+00    0.360000E+02    0.700000E+01
  144 LOROX L             0.750000E+02    0.810000E+02    0.150000E+02    0.600000E+00    0.496000E+03    0.738000E+01
  145 LORSBAN 30 FL L     0.100000E+01    0.305000E+02    0.330000E+01    0.650000E+00    0.993000E+04    0.269700E+02
  146 Manzate 200         0.300000E+01    0.670000E+02    0.300000E+01    0.650000E+00    0.191000E+04    0.228000E+01
  147 Marlate             0.000000E+00    0.128000E+03    0.600000E+01    0.500000E-01    0.760000E+05    0.160000E+02
  148 Matacil             0.915000E+03    0.600000E+01    0.400000E+01    0.900000E+00    0.100000E+03    0.150000E+02
  149 MAVRIK AF           0.000000E+00    0.250000E+02    0.700000E+01    0.400000E+00    0.260000E+06    0.391000E+03
  150 Merpan              0.400000E+01    0.100000E+02    0.900000E+01    0.650000E+00    0.198000E+03    0.130000E+02
  151 Metasystox          0.100000E+07    0.100000E+02    0.300000E+01    0.950000E+00    0.100000E+02    0.991100E+02
  152 Metaldehyde         0.230000E+03    0.100000E+02    0.990000E+02    0.900000E+00    0.240000E+03    0.150000E+02
  153 METHYL PARATHIO     0.110000E+02    0.140000E+02    0.300000E+01    0.650000E+00    0.760000E+04    0.212500E+02
  154 Milogard            0.300000E+01    0.123000E+03    0.500000E+01    0.450000E+00    0.161000E+03    0.700000E+01
  155 Miral               0.690000E+02    0.405000E+02    0.500000E+01    0.650000E+00    0.155000E+03    0.140000E+02
  156 MITAC EC            0.000000E+00    0.200000E+00    0.100000E+01    0.450000E+00    0.951000E+03    0.370000E+02
  157 MOCAP 6EC           0.843000E+03    0.240000E+02    0.990000E+02    0.900000E+00    0.104000E+03    0.200000E+02
  158 Modown              0.000000E+00    0.700000E+01    0.300000E+01    0.400000E+00    0.760000E+04    0.170000E+02
  159 MONITOR 4           0.100000E+07    0.400000E+01    0.400000E+01    0.950000E+00    0.100000E+01    0.589700E+02
  160 MORESTAN            0.100000E+01    0.300000E+02    0.100000E+02    0.500000E+00    0.230000E+04    0.109000E+03
  161 MSMA                0.140000E+07    0.180000E+03    0.100000E+02    0.100000E+01    0.700000E+04    0.138700E+02
  162 NEMACUR 3E T &      0.330000E+03    0.190000E+02    0.500000E+01    0.800000E+00    0.197000E+03    0.480000E+02
  163 NEMACUR 3E VEG      0.330000E+03    0.190000E+02    0.500000E+01    0.800000E+00    0.197000E+03    0.500000E+02
  164 NEMACUR 3SC Cit     0.330000E+03    0.190000E+02    0.500000E+01    0.800000E+00    0.197000E+03    0.480000E+02
  165 NEMACUR 3SC Cit     0.330000E+03    0.190000E+02    0.500000E+01    0.800000E+00    0.197000E+03    0.560000E+02
  166 NORTRON SC          0.500000E+02    0.143000E+03    0.100000E+02    0.650000E+00    0.276000E+03    0.810000E+02
  167 FACET 75DF          0.640000E+02    0.913000E+03    0.300000E+01    0.100000E+01    0.320000E+02    0.163000E+03
  168 Octave              0.340000E+02    0.130000E+03    0.300000E+02    0.500000E+00    0.750000E+04    0.120000E+02
  169 OFTANOL 5G          0.180000E+02    0.930000E+02    0.300000E+02    0.650000E+00    0.777000E+03    0.656000E+03
  170 ORDRAM 8E           0.970000E+03    0.130000E+02    0.990000E+02    0.800000E+00    0.117000E+03    0.120000E+02
  171 Orthene 75S         0.818000E+06    0.300000E+01    0.250000E+01    0.700000E+00    0.300000E+01    0.776000E+01
  172 Orthocide           0.500000E+01    0.500000E+01    0.900000E+01    0.650000E+00    0.151000E+03    0.130000E+02
  173 OUST                0.700000E+02    0.280000E+02    0.100000E+02    0.650000E+00    0.850000E+02    0.115980E+03
  174 PAARLAN EC          0.000000E+00    0.100000E+03    0.990000E+02    0.800000E+00    0.100000E+05    0.390000E+02
  175 Paraquat            0.620000E+06    0.106700E+04    0.300000E+01    0.600000E+00    0.162000E+05    0.358300E+02
  176 Pay-Off             0.000000E+00    0.210000E+02    0.500000E+01    0.400000E+00    0.100000E+06    0.336000E+03
  177 PENNCAP M           0.550000E+02    0.100000E+02    0.300000E+01    0.900000E+00    0.630000E+04    0.310000E+02
  178 Phenatox            0.300000E+01    0.900000E+01    0.200000E+01    0.500000E-01    0.100000E+06    0.140000E+02
  179 PHOSDRIN 4EC        0.600000E+06    0.300000E+01    0.600000E+00    0.950000E+00    0.440000E+02    0.400000E+02
  180 Phoskil             0.110000E+02    0.140000E+02    0.400000E+01    0.700000E+00    0.760000E+04    0.900000E+01
  181 Pipron              0.200000E+02    0.300000E+02    0.100000E+02    0.600000E+00    0.193000E+05    0.110000E+02
  182 PIX                 0.100000E+07    0.100000E+04    0.300000E+02    0.950000E+00    0.100000E+07    0.510000E+03
  183 Plantvax            0.140000E+04    0.200000E+02    0.100000E+02    0.700000E+00    0.960000E+02    0.290000E+02
  184 2 Plus 2            0.231800E+05    0.550000E+01    0.100000E+02    0.950000E+00    0.480000E+02    0.600000E+01
  185 POAST               0.439000E+04    0.500000E+01    0.300000E+01    0.700000E+00    0.100000E+03    0.495500E+02
  186 Polyram             0.000000E+00    0.200000E+02    0.700000E+01    0.400000E+00    0.500000E+06    0.150000E+02
  187 POUNCE 3.2          0.600000E+01    0.300000E+02    0.800000E+01    0.300000E+00    0.393000E+05    0.108940E+03
  188 PRAMITOL 25E        0.720000E+03    0.932000E+03    0.300000E+02    0.750000E+00    0.950000E+02    0.351100E+02
  189 PREFAR 6E           0.600000E+01    0.120000E+03    0.300000E+02    0.400000E+00    0.390000E+04    0.190000E+02
  190 Prelude             0.620000E+06    0.100000E+04    0.300000E+02    0.600000E+00    0.100000E+07    0.120000E+02
  191 PRIME PLUS          0.000000E+00    0.200000E+04    0.700000E+01    0.400000E+00    0.596000E+05    0.980000E+02
  192 PRINCEP 4L          0.600000E+01    0.910000E+02    0.500000E+01    0.400000E+00    0.140000E+03    0.114500E+02
  193 Probe               0.200000E+01    0.140000E+02    0.500000E+01    0.400000E+00    0.306000E+04    0.260000E+02
  194 Prowl 3.3 EC        0.000000E+00    0.130000E+04    0.300000E+02    0.400000E+00    0.134000E+05    0.188300E+02
  195 PURSUIT             0.140000E+04    0.900000E+02    0.200000E+02    0.900000E+00    0.700000E+01    0.575800E+02
  196 PYDRIN 2.4          0.000000E+00    0.163000E+03    0.100000E+02    0.250000E+00    0.100000E+04    0.113000E+03
  197 Pyramin             0.400000E+03    0.210000E+02    0.500000E+01    0.850000E+00    0.120000E+03    0.415000E+03
  198 RAMROD 20G          0.613000E+03    0.900000E+01    0.300000E+01    0.400000E+00    0.800000E+02    0.110000E+03
  199 REFLEX              0.500000E+02    0.185000E+03    0.300000E+02    0.950000E+00    0.600000E+02    0.830000E+02
  200 Rescue              0.231000E+06    0.245800E+03    0.900000E+01    0.450000E+00    0.221200E+04    0.670000E+02
  201 Ridomil             0.840000E+04    0.400000E+02    0.700000E+01    0.800000E+00    0.171000E+03    0.241760E+03
  202 RO-NEET 6E          0.950000E+02    0.270000E+02    0.200000E+01    0.500000E+00    0.272000E+03    0.170000E+02
  203 RONSTAR G           0.100000E+01    0.180000E+03    0.200000E+02    0.500000E+00    0.334500E+04    0.150000E+02
  204 Roundup Ultra       0.120000E+05    0.900000E+00    0.250000E+01    0.600000E+00    0.210000E+04    0.283100E+02
  205 Rovral              0.140000E+02    0.500000E+02    0.500000E+01    0.400000E+00    0.666000E+03    0.215500E+02
  206 Royal Slo Gro       0.450700E+04    0.300000E+02    0.100000E+02    0.950000E+00    0.251000E+03    0.410000E+02
  207 RUBIGAN A.S.        0.140000E+02    0.840000E+03    0.300000E+02    0.400000E+00    0.760000E+03    0.267100E+04
  208 Sancap              0.160000E+02    0.117000E+03    0.500000E+01    0.400000E+00    0.860000E+03    0.330000E+03
  209 Savey               0.100000E+01    0.300000E+02    0.500000E+01    0.400000E+00    0.620000E+04    0.980000E+02
  210 SCEPTER             0.160000E+06    0.600000E+02    0.200000E+02    0.950000E+00    0.200000E+02    0.700000E+01
  211 SENCOR 4F           0.100000E+04    0.172000E+03    0.500000E+01    0.800000E+00    0.520000E+02    0.658400E+02
  212 SEVIN 4L            0.110000E+03    0.170000E+02    0.700000E+01    0.550000E+00    0.288000E+03    0.218900E+02
  213 2, 4 ,5-TP          0.300000E+01    0.200000E+02    0.500000E+01    0.400000E+00    0.260000E+04    0.130000E+02
  214 SINBAR 80WP         0.710000E+03    0.520000E+03    0.300000E+02    0.700000E+00    0.630000E+02    0.306000E+01
  215 Slug-Geta           0.240000E+02    0.300000E+02    0.100000E+02    0.700000E+00    0.300000E+03    0.150000E+02
  216 SONALAN             0.000000E+00    0.450000E+02    0.400000E+01    0.400000E+00    0.512000E+04    0.227100E+02
  217 SONAR AS            0.100000E+02    0.340000E+02    0.990000E+02    0.900000E+00    0.862000E+03    0.150000E+02
  218 SPECTRACIDE         0.600000E+02    0.390000E+02    0.400000E+01    0.900000E+00    0.152000E+04    0.140000E+02
  219 SPIKE 80WSP         0.250000E+04    0.360000E+03    0.300000E+02    0.900000E+00    0.130000E+03    0.149800E+02
  220 SPROUT NIP          0.890000E+02    0.300000E+02    0.800000E+01    0.900000E+00    0.505000E+03    0.150000E+02
  221 Stam 4E             0.152000E+03    0.100000E+01    0.100000E+01    0.700000E+00    0.400000E+03    0.100000E+02
  222 Supracide           0.220000E+03    0.700000E+01    0.300000E+01    0.900000E+00    0.400000E+03    0.735500E+02
  223 Surflan             0.300000E+01    0.200000E+02    0.500000E+01    0.400000E+00    0.600000E+03    0.350000E+02
  224 SUTAN PLUS          0.440000E+02    0.280000E+02    0.100000E+01    0.300000E+00    0.304000E+03    0.857470E+03
  225 SWAT                0.100000E+07    0.180000E+02    0.500000E+01    0.950000E+00    0.330000E+02    0.140000E+02
  226 TACKLE              0.250000E+06    0.300000E+02    0.500000E+01    0.950000E+00    0.113000E+03    0.263000E+03
  227 TALSTAR .2GR        0.000000E+00    0.950000E+02    0.700000E+01    0.400000E+00    0.237000E+06    0.260000E+02
  228 TANDEM              0.200000E+01    0.260000E+02    0.800000E+01    0.400000E+00    0.560000E+04    0.210000E+02
  229 Tanone              0.110000E+02    0.350000E+02    0.200000E+01    0.650000E+00    0.100000E+04    0.450000E+02
  230 TATTOO C            0.260000E+03    0.400000E+01    0.300000E+01    0.850000E+00    0.200000E+03    0.730000E+02
  231 TBZ                 0.300000E+02    0.640000E+03    0.300000E+02    0.600000E+00    0.250000E+04    0.700000E+01
  232 TELONE II 250 G     0.225000E+04    0.100000E+02    0.990000E+02    0.900000E+00    0.660000E+02    0.360000E+02
  233 TELONE II 54 Ga     0.225000E+04    0.100000E+02    0.990000E+02    0.900000E+00    0.660000E+02    0.300000E+02
  234 TEMIK 15G 30 LB     0.590000E+05    0.500000E+02    0.990000E+02    0.900000E+00    0.260000E+02    0.113900E+02
  235 TEMIK 15G 45 LB     0.590000E+05    0.500000E+02    0.990000E+02    0.900000E+00    0.260000E+02    0.113900E+02
  236 TEMIK 15G CA        0.590000E+05    0.500000E+02    0.990000E+02    0.900000E+00    0.260000E+02    0.410000E+02
